"","Country","Year","%of1Member","%of2-3Member","%of4-5Member","%of6+Member"
"1236","Myanmar",2016,5.35449839657312,33.4904694025661,39.1413960229495,22.0136361779113
"1237","Namibia",1992,8.63633610302223,22.2667975273953,22.8380251935363,46.2588411760462
"1238","Namibia",1993,8.04931850158334,23.499702295261,23.9378811864923,44.5130980166634
"1239","Namibia",1994,8.49300773764253,23.8534001288069,24.0692033263806,43.5843888071699
"1240","Namibia",1995,8.9366969737016,24.2070979623529,24.2005254662688,42.6556795976767
"1241","Namibia",1996,9.38038620976079,24.5607957958989,24.3318476061571,41.7269703881834
"1242","Namibia",1997,9.82407544581997,24.9144936294448,24.4631697460453,40.7982611786902
"1243","Namibia",1998,10.267764681879,25.2681914629908,24.5944918859335,39.8695519691967
"1244","Namibia",1999,10.7114539179382,25.6218892965367,24.7258140258217,38.9408427597034
"1245","Namibia",2000,9.39500039836426,27.2268613419033,26.0719194904537,37.3062187692787
"1246","Namibia",2001,11.5988323900565,26.3292849636287,24.9884583055982,37.0834243407169
"1247","Namibia",2002,12.0425216261157,26.6829827971745,25.1197804454864,36.1547151312234
"1248","Namibia",2003,12.4862108621749,27.0366806307205,25.2511025853746,35.2260059217301
"1249","Namibia",2004,12.9299000982339,27.3903784642664,25.3824247252629,34.2972967122369
"1250","Namibia",2005,13.3735893342931,27.7440762978124,25.5137468651511,33.3685875027436
"1251","Namibia",2006,13.8172785703523,28.0977741313584,25.6450690050393,32.4398782932501
"1252","Namibia",2007,14.4671365123732,28.817602109412,26.5342290937202,30.1810322844946
"1253","Namibia",2008,14.7046570424706,28.8051697984503,25.9077132848158,30.5824598742636
"1254","Namibia",2009,15.1483462785297,29.1588676319961,26.039035424704,29.6537506647703
"1255","Namibia",2010,15.5920355145888,29.5125654655421,26.1703575645922,28.7250414552768
"1256","Namibia",2011,16.035724750648,29.8662632990881,26.3016797044804,27.7963322457836
"1257","Namibia",2012,16.4794139867072,30.219961132634,26.4330018443687,26.8676230362903
"1258","Namibia",2013,17.4463704349396,29.8354615441714,25.5602365637883,27.1579314571008
"1259","Nepal",1996,3.19033416710495,18.8115767806907,33.9381306386308,44.0599584135735
"1260","Nepal",1997,3.37851819418989,17.9646450761829,34.6326330228896,44.0242037067369
"1261","Nepal",1998,3.52485119817595,18.7515915513472,34.7865077071098,42.9370495433664
"1262","Nepal",1999,3.67118420216201,19.5385380265118,34.94038239133,41.8498953799958
"1263","Nepal",2000,3.81751720614807,20.3254845016761,35.0942570755503,40.7627412166253
"1264","Nepal",2001,3.99601986877652,19.0019533099041,35.095696500642,41.9063303206773
"1265","Nepal",2002,4.11018321412013,21.8993774520047,35.4020064439907,38.5884328898842
"1266","Nepal",2003,4.25651621810619,22.686323927169,35.555881128211,37.5012787265136
"1267","Nepal",2004,4.40284922209224,23.4732704023334,35.7097558124312,36.4141245631427
