"","Country","Year","percent_of_gdp_spent_on_education"
"413","Chile",2013,4.52943
"414","Chile",2014,4.73018
"415","Chile",2015,4.8737
"416","Chile",2016,5.35064
"417","Colombia",1985,2.71527
"418","Colombia",1986,2.91288961262715
"419","Colombia",1987,2.97616871022024
"420","Colombia",1988,3.03944780781333
"421","Colombia",1989,2.70525
"422","Colombia",1990,3.16600600299952
"423","Colombia",1991,3.22928510059262
"424","Colombia",1992,3.2925641981857
"425","Colombia",1993,3.3558432957788
"426","Colombia",1994,3.41912239337189
"427","Colombia",1995,3.48240149096499
"428","Colombia",1996,3.54568058855808
"429","Colombia",1997,3.60895968615117
"430","Colombia",1998,3.92644
"431","Colombia",1999,4.4408
"432","Colombia",2000,3.51121
"433","Colombia",2001,3.70868
"434","Colombia",2002,4.26813
"435","Colombia",2003,4.32514
"436","Colombia",2004,4.07935
"437","Colombia",2005,3.99501
"438","Colombia",2006,3.89332
"439","Colombia",2007,4.0587
"440","Colombia",2008,3.9098
"441","Colombia",2009,4.74743
"442","Colombia",2010,4.82616
"443","Colombia",2011,4.45981
"444","Colombia",2012,4.38531
"445","Colombia",2013,4.90324
"446","Colombia",2014,4.66516
"447","Colombia",2015,4.50048
"448","Colombia",2016,4.52091
"449","Costa Rica",1986,3.5658
"450","Costa Rica",1987,2.90656747828007
"451","Costa Rica",1988,3.05414
"452","Costa Rica",1989,3.1185
"453","Costa Rica",1990,3.3219850632355
"454","Costa Rica",1991,3.46045759155402
"455","Costa Rica",1992,3.59893011987248
"456","Costa Rica",1993,3.73740264819099
"457","Costa Rica",1994,3.87587517650945
"458","Costa Rica",1995,3.37168
"459","Costa Rica",1996,3.91086
"460","Costa Rica",1997,4.29129276146489
"461","Costa Rica",1998,4.4297652897834
"462","Costa Rica",1999,5.41687
"463","Costa Rica",2000,4.68696
"464","Costa Rica",2001,4.8511
"465","Costa Rica",2002,5.17354
"466","Costa Rica",2003,5.15636
"467","Costa Rica",2004,4.91218
"468","Costa Rica",2005,5.39907298801279
"469","Costa Rica",2006,4.63918
"470","Costa Rica",2007,4.6589
"471","Costa Rica",2008,4.91712
"472","Costa Rica",2009,6.04635
"473","Costa Rica",2010,6.63445
"474","Costa Rica",2011,6.45535
"475","Costa Rica",2012,6.68984
"476","Costa Rica",2013,6.84934
"477","Costa Rica",2014,6.86952
"478","Costa Rica",2015,7.08255
"479","Costa Rica",2016,7.11873
"480","Croatia",2002,3.81086
"481","Croatia",2003,3.86755
"482","Croatia",2004,3.82086
"483","Croatia",2005,3.96453229571985
"484","Croatia",2006,4.02820544747081
"485","Croatia",2007,3.97111
"486","Croatia",2008,4.27013
"487","Croatia",2009,4.38925
"488","Croatia",2010,4.24051
"489","Croatia",2011,4.14873
"490","Croatia",2012,4.41024435797665
"491","Croatia",2013,4.5626
"492","Cuba",1991,7.14505
"493","Cuba",1992,5.44582426213105
"494","Cuba",1993,7.07486
"495","Cuba",1994,5.61955
"496","Cuba",1995,6.64236081540776
"497","Cuba",1996,7.04120633316666
"498","Cuba",1997,7.44005185092544
"499","Cuba",1998,6.20864
"500","Cuba",1999,6.75517
"501","Cuba",2000,7.70471
"502","Cuba",2001,8.35812
"503","Cuba",2002,9.57117
"504","Cuba",2003,9.94089
"505","Cuba",2004,10.26812
"506","Cuba",2005,10.55784
"507","Cuba",2006,9.05718
"508","Cuba",2007,11.86823
"509","Cuba",2008,14.05908
"510","Cuba",2009,13.12486
"511","Cuba",2010,12.83731
"512","Cyprus",1985,3.58696
"513","Cyprus",1986,3.48897
"514","Cyprus",1987,3.44871
"515","Cyprus",1988,3.37547
"516","Cyprus",1989,3.37627
"517","Cyprus",1990,3.33924
"518","Cyprus",1991,3.57539
"519","Cyprus",1992,3.7803
"520","Cyprus",1993,4.09555
"521","Cyprus",1994,4.15997
"522","Cyprus",1995,3.78172
"523","Cyprus",1996,4.57363543111757
"524","Cyprus",1997,4.71006593930639
"525","Cyprus",1998,4.84649644749521
"526","Cyprus",1999,4.71968
"527","Cyprus",2000,4.89278
"528","Cyprus",2001,5.03351
"529","Cyprus",2002,5.48652
"530","Cyprus",2003,6.6567
"531","Cyprus",2004,6.08196
"532","Cyprus",2005,6.196
"533","Cyprus",2006,6.2276
"534","Cyprus",2007,6.25248
"535","Cyprus",2008,6.72402
"536","Cyprus",2009,7.20622
"537","Cyprus",2010,6.58025
"538","Cyprus",2011,6.56238
"539","Cyprus",2012,6.75652356213874
"540","Cyprus",2013,6.43176
"541","Cyprus",2014,6.37621
"542","Cyprus",2015,6.37674
"543","Czech Republic",1992,3.77508
"544","Czech Republic",1993,4.18452
"545","Czech Republic",1994,4.67885
"546","Czech Republic",1995,4.54563
"547","Czech Republic",1996,4.27039
"548","Czech Republic",1997,4.00351648844158
"549","Czech Republic",1998,3.5972
"550","Czech Republic",1999,3.68481
"551","Czech Republic",2000,3.65089
"552","Czech Republic",2001,3.74855
"553","Czech Republic",2002,3.97256
"554","Czech Republic",2003,4.13643
"555","Czech Republic",2004,4.01424
"556","Czech Republic",2005,3.89038
"557","Czech Republic",2006,4.2171
"558","Czech Republic",2007,3.86663
"559","Czech Republic",2008,3.74455
"560","Czech Republic",2009,4.17128
"561","Czech Republic",2010,4.06446
"562","Czech Republic",2011,4.27214
"563","Czech Republic",2012,4.25086
"564","Czech Republic",2013,4.09089
"565","Czech Republic",2014,3.99462
"566","Czech Republic",2015,5.78885
"567","Denmark",1986,5.83825
"568","Denmark",1987,6.07808
"569","Denmark",1988,6.33533
"570","Denmark",1989,5.83814
"571","Denmark",1990,6.76266859869148
"572","Denmark",1991,5.59676
"573","Denmark",1992,6.91288088647812
"574","Denmark",1993,7.77282
"575","Denmark",1994,7.47106
"576","Denmark",1995,7.47103
"577","Denmark",1996,7.88494
"578","Denmark",1997,7.28841160594467
"579","Denmark",1998,8.10674
"580","Denmark",1999,7.93116
"581","Denmark",2000,8.08433
"582","Denmark",2001,8.21545
"583","Denmark",2002,8.21303
"584","Denmark",2003,8.12194
"585","Denmark",2004,8.20763
"586","Denmark",2005,8.08557
"587","Denmark",2006,7.72991
"588","Denmark",2007,7.6156
"589","Denmark",2008,7.47605
"590","Denmark",2009,8.44888
"591","Denmark",2010,8.55955
"592","Denmark",2011,8.48486
"593","Denmark",2012,7.23782
"594","Denmark",2013,8.49443
"595","Denmark",2014,7.63485
"596","Dominica",1989,5.17833
"597","Dominica",1990,6.07526958660014
"598","Dominica",1991,5.98784889522452
"599","Dominica",1992,5.90042820384889
"600","Dominica",1993,5.81300751247326
"601","Dominica",1994,5.72558682109764
"602","Dominica",1995,5.63816612972201
"603","Dominica",1996,5.55074543834638
"604","Dominica",1997,5.46332474697076
"605","Dominica",1998,7.16059
"606","Dominica",1999,4.99184
"607","Dominica",2000,5.2010626728439
"608","Dominica",2001,5.11364198146828
"609","Dominica",2002,5.02622129009265
"610","Dominica",2003,4.93880059871702
"611","Dominica",2004,4.8513799073414
"612","Dominica",2005,4.76395921596577
"613","Dominica",2006,4.67653852459014
"614","Dominica",2007,4.58911783321452
"615","Dominica",2008,4.50169714183892
"616","Dominica",2009,4.41427645046329
"617","Dominica",2010,4.32685575908766
"618","Dominica",2011,4.23943506771204
"619","Dominica",2012,4.15201437633641
"620","Dominica",2013,4.06459368496078
"621","Dominica",2014,3.97717299358516
"622","Dominica",2015,3.38607
"623","Ecuador",1985,5.23335
"624","Ecuador",1986,6.87238
"625","Ecuador",1987,3.71930662656233
"626","Ecuador",1988,3.73842775551923
"627","Ecuador",1989,3.75754888447612
"628","Ecuador",1990,3.77667001343302
"629","Ecuador",1991,3.79579114238992
"630","Ecuador",1992,3.81491227134681
"631","Ecuador",1993,3.83403340030371
"632","Ecuador",1994,3.85315452926061
"633","Ecuador",1995,1.99764
"634","Ecuador",1996,3.8913967871744
"635","Ecuador",1997,3.9105179161313
"636","Ecuador",1998,2.19537
"637","Ecuador",1999,1.54734
"638","Ecuador",2000,1.15093
"639","Ecuador",2001,3.98700243195889
"640","Ecuador",2002,4.00612356091578
"641","Ecuador",2003,4.02524468987268
"642","Ecuador",2004,4.04436581882957
"643","Ecuador",2005,4.06348694778647
"644","Ecuador",2006,4.08260807674336
"645","Ecuador",2007,4.10172920570026
"646","Ecuador",2008,4.12085033465716
"647","Ecuador",2009,4.34242
"648","Ecuador",2010,4.50743
"649","Ecuador",2011,4.72689
"650","Ecuador",2012,4.64307
"651","Ecuador",2013,5.00464
"652","Ecuador",2014,5.26099
"653","Ecuador",2015,4.9987
"654","El Salvador",1998,2.54725
"655","El Salvador",1999,2.56261
"656","El Salvador",2000,2.83868
"657","El Salvador",2001,3.05099581411127
"658","El Salvador",2002,3.24284
"659","El Salvador",2003,3.13467
"660","El Salvador",2004,3.29346854816825
"661","El Salvador",2005,3.17785
"662","El Salvador",2006,3.49298
"663","El Salvador",2007,3.60985
"664","El Salvador",2008,4.45811
"665","El Salvador",2009,4.6595
"666","El Salvador",2010,4.04808
"667","El Salvador",2011,3.89854
"668","El Salvador",2012,3.71244
"669","El Salvador",2013,3.80384
"670","El Salvador",2014,3.82545
"671","El Salvador",2015,3.95582
"672","El Salvador",2016,3.86991
"673","Estonia",1995,6.07305
"674","Estonia",1996,6.10584
"675","Estonia",1997,6.44819
"676","Estonia",1998,6.2986
"677","Estonia",1999,6.68736
"678","Estonia",2000,5.34021
"679","Estonia",2001,5.23648
"680","Estonia",2002,5.46868
"681","Estonia",2003,5.29463
"682","Estonia",2004,4.91181
"683","Estonia",2005,4.84486
"684","Estonia",2006,5.42044057806096
"685","Estonia",2007,4.66396
"686","Estonia",2008,5.51751
"687","Estonia",2009,5.95415
"688","Estonia",2010,5.527
"689","Estonia",2011,5.01738
"690","Estonia",2012,4.71293
"691","Estonia",2013,4.83838
"692","Estonia",2014,5.47941
"693","Estonia",2015,5.2159
"694","Fiji",1989,4.8311
"695","Fiji",1990,5.90524664948454
"696","Fiji",1991,5.85364486254295
"697","Fiji",1992,5.80204307560138
"698","Fiji",1993,5.7504412886598
"699","Fiji",1994,5.69883950171821
"700","Fiji",1995,5.64723771477664
"701","Fiji",1996,5.59563592783505
"702","Fiji",1997,5.54403414089347
"703","Fiji",1998,5.51262
"704","Fiji",1999,5.15351
"705","Fiji",2000,5.85725
"706","Fiji",2001,5.61714
"707","Fiji",2002,6.24382
"708","Fiji",2003,5.23442341924398
"709","Fiji",2004,6.16493
"710","Fiji",2005,5.12197
"711","Fiji",2006,5.60714
"712","Fiji",2007,5.84843
"713","Fiji",2008,4.25357
"714","Fiji",2009,4.49848
"715","Fiji",2010,4.8732109106529
"716","Fiji",2011,4.17306
"717","Fiji",2012,4.77000733676974
"718","Fiji",2013,3.88289
"719","Finland",1985,5.04196
"720","Finland",1986,5.09658
"721","Finland",1987,5.19813
"722","Finland",1988,5.06491
"723","Finland",1989,5.07036
"724","Finland",1990,5.33591
"725","Finland",1991,6.33289
"726","Finland",1992,6.51512
"727","Finland",1993,7.48367
"728","Finland",1994,6.85563
"729","Finland",1995,6.80942
"730","Finland",1996,6.86053
"731","Finland",1997,6.03473813837078
"732","Finland",1998,6.07897231214521
"733","Finland",1999,5.86961
"734","Finland",2000,5.71688
"735","Finland",2001,5.84797
"736","Finland",2002,6.02478
"737","Finland",2003,6.17477
"738","Finland",2004,6.1685
"739","Finland",2005,6.03606
"740","Finland",2006,5.9381
"741","Finland",2007,5.68609
"742","Finland",2008,5.84677
"743","Finland",2009,6.48518
"744","Finland",2010,6.54071
"745","Finland",2011,6.48201
"746","Finland",2012,7.19254
"747","Finland",2013,7.15848
"748","Finland",2014,7.15156
"749","Finland",2015,7.09183
"750","France",1985,4.85157
"751","France",1986,4.70795
"752","France",1987,4.62344
"753","France",1988,4.54472
"754","France",1989,4.4564
"755","France",1990,4.51394
"756","France",1991,4.8413
"757","France",1992,4.73539
"758","France",1993,5.42959
"759","France",1994,5.62643
"760","France",1995,5.79073
"761","France",1996,5.75672
"762","France",1997,5.21736139632332
"763","France",1998,5.68792
"764","France",1999,5.67414
"765","France",2000,5.31196148148147
"766","France",2001,5.34349484320085
"767","France",2002,5.37502820492024
"768","France",2003,5.74671
"769","France",2004,5.65932
"770","France",2005,5.51873
"771","France",2006,5.45718
"772","France",2007,5.45728
"773","France",2008,5.45351
"774","France",2009,5.74618
"775","France",2010,5.69251
"776","France",2011,5.5183
