"","Country","Year","rural_population_percent"
"356","Brazil",2015,0.153377230316862
"357","Bulgaria",1985,0.378067276965472
"358","Bulgaria",1986,0.3736457875653
"359","Bulgaria",1987,0.371198346204558
"360","Bulgaria",1988,0.367273788734679
"361","Bulgaria",1989,0.358799462252539
"362","Bulgaria",1990,0.348203320282316
"363","Bulgaria",1991,0.340742971246935
"364","Bulgaria",1992,0.349869010772989
"365","Bulgaria",1993,0.345944838652064
"366","Bulgaria",1994,0.342611926382099
"367","Bulgaria",1995,0.339216004807675
"368","Bulgaria",1996,0.33598114651198
"369","Bulgaria",1997,0.332832612859676
"370","Bulgaria",1998,0.32972791572531
"371","Bulgaria",1999,0.326928237494186
"372","Bulgaria",2000,0.32455918282264
"373","Bulgaria",2001,0.325284871680141
"374","Bulgaria",2002,0.316585748045805
"375","Bulgaria",2003,0.31255222257825
"376","Bulgaria",2004,0.308433468983952
"377","Bulgaria",2005,0.304287841306355
"378","Bulgaria",2006,0.300259876015644
"379","Bulgaria",2007,0.296366414927914
"380","Bulgaria",2008,0.292567662770973
"381","Bulgaria",2009,0.289092882950789
"382","Bulgaria",2010,0.285984513470472
"383","Bulgaria",2011,0.284934744112119
"384","Bulgaria",2012,0.283694603739583
"385","Bulgaria",2013,0.280153222712623
"386","Bulgaria",2014,0.276506328194513
"387","Cabo Verde",2011,0.423346897253306
"388","Canada",1985,0.261032801797761
"389","Canada",1986,0.262027726081947
"390","Canada",1987,0.26192884045664
"391","Canada",1988,0.261996326420591
"392","Canada",1989,0.263336523393554
"393","Canada",1990,0.263438728994077
"394","Canada",1991,0.259410593790937
"395","Canada",1992,0.249173436208214
"396","Canada",1993,0.244495494680011
"397","Canada",1994,0.241327708972777
"398","Canada",1995,0.237278627105794
"399","Canada",1996,0.236129902762161
"400","Canada",1997,0.231269526144841
"401","Canada",1998,0.226822966166191
"402","Canada",1999,0.222212436637175
"403","Canada",2000,0.2176790814134
"404","Canada",2001,0.214456427805346
"405","Canada",2002,0.212789303327377
"406","Canada",2003,0.21181241566344
"407","Canada",2004,0.210824493369709
"408","Canada",2005,0.209921230747067
"409","Canada",2006,0.208547186883018
"410","Canada",2007,0.206363823636882
"411","Canada",2008,0.204408723869801
"412","Canada",2009,0.202609433128438
"413","Canada",2010,0.200780421543721
"414","Canada",2011,0.199051834961863
"415","Canada",2012,0.198870053171916
"416","Canada",2013,0.198601572026302
"417","Chile",1985,0.198266556919033
"418","Chile",1986,0.195362002674607
"419","Chile",1987,0.1922997419663
"420","Chile",1988,0.192441253100897
"421","Chile",1989,0.190918946968181
"422","Chile",1990,0.18919427882874
"423","Chile",1991,0.188204179243183
"424","Chile",1992,0.185317180592397
"425","Chile",1993,0.181666841507927
"426","Chile",1994,0.177478152293667
"427","Chile",1995,0.171313613556088
"428","Chile",1996,0.167223691418497
"429","Chile",1997,0.163345078106452
"430","Chile",1998,0.159639576102702
"431","Chile",1999,0.156014424744448
"432","Chile",2000,0.15244611568797
"433","Chile",2001,0.148959754210712
"434","Chile",2002,0.146002456875088
"435","Chile",2003,0.145063616106547
"436","Chile",2004,0.144145188285713
"437","Chile",2005,0.143293802864658
"438","Chile",2006,0.142477137625163
"439","Chile",2007,0.141708705477495
"440","Chile",2008,0.140953012591999
"441","Chile",2009,0.140204374316212
"442","Chile",2010,0.139447793186477
"443","Chile",2011,0.138729430303372
"444","Chile",2012,0.137948229476771
"445","Chile",2013,0.137125686750816
"446","Chile",2014,0.136310233007299
"447","Chile",2015,0.13553302764998
"448","Colombia",1985,0.408077173920376
"449","Colombia",1986,0.4014670204542
"450","Colombia",1987,0.368707892087641
"451","Colombia",1988,0.362196208506521
"452","Colombia",1989,0.355785199162986
"453","Colombia",1990,0.349448668125534
"454","Colombia",1991,0.343080551549218
"455","Colombia",1992,0.355221798279888
"456","Colombia",1993,0.348592518117316
"457","Colombia",1994,0.341965390904971
"458","Colombia",1995,0.31934003003847
"459","Colombia",1996,0.313582804134759
"460","Colombia",1997,0.307665789156566
"461","Colombia",1998,0.301675906278439
"462","Colombia",1999,0.295827612520881
"463","Colombia",2000,0.290254425762219
"464","Colombia",2001,0.284720904856627
"465","Colombia",2002,0.279562344875139
"466","Colombia",2003,0.274654500777694
"467","Colombia",2004,0.26981549948935
"468","Colombia",2005,0.264932973501939
"469","Colombia",2006,0.260274297227279
"470","Colombia",2007,0.255437569818077
"471","Colombia",2008,0.250513312446937
"472","Colombia",2009,0.245658033002757
"473","Colombia",2010,0.240979469340427
"474","Colombia",2011,0.23635167794411
"475","Colombia",2012,0.231914629981305
"476","Colombia",2013,0.227646142787014
"477","Colombia",2014,0.223479384680331
"478","Colombia",2015,0.219363117837392
"479","Costa Rica",1985,0.666075634524803
"480","Costa Rica",1986,0.65534665474
"481","Costa Rica",1987,0.63093613073848
"482","Costa Rica",1988,0.618999424387707
"483","Costa Rica",1989,0.60132214345769
"484","Costa Rica",1990,0.589049551316862
"485","Costa Rica",1991,0.576443573800454
"486","Costa Rica",1992,0.564733456401722
"487","Costa Rica",1993,0.553266792841997
"488","Costa Rica",1994,0.54204515310329
"489","Costa Rica",1995,0.50884456849816
"490","Costa Rica",1996,0.501725792158805
"491","Costa Rica",1997,0.489969081218212
"492","Costa Rica",1998,0.478358761717751
"493","Costa Rica",1999,0.466798978760112
"494","Costa Rica",2000,0.455167918192728
