"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NAM","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"NPL","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"NIC","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"NER","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"PSE","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.75,
"OMN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"PAN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"PNG","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.75,
"QAT","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.75,
"RWA","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"SEN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.75,
"SLE","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"SOM","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"LKA","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"SWZ","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"SYR","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.75,
"TJK","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"TLS","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.25,
"TGO","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"TTO","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"TUN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"TKM","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0,
"UGA","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.5,
"UZB","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.75,
"VEN","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.75,
"YEM","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",1,
"ZWE","DISCRIMFAMCODE","LEGAGEMARRIAGE","IDX","A","2014",0.75,
