"","Country","Year","male_population","male_suicide_rate","female_population","female_suicide_rate","population","total_suicide_rate"
"1362","Mexico",1988,34694001,4.10445598361515e-05,34952001,8.0395969318037e-06,69646001,2.44665878231831e-05
"1363","Mexico",1989,35534001,4.44925973858108e-05,35825001,7.9832516962107e-06,71359001,2.61494692169247e-05
"1364","Mexico",1990,36376001,4.53320858441806e-05,36700901,7.60199320447201e-06,73076901,2.63694816505697e-05
"1365","Mexico",1991,37218301,4.80946188274419e-05,37578001,8.38256404325499e-06,74796301,2.81297333139509e-05
"1366","Mexico",1992,37204701,5.10688152016058e-05,38081101,8.90205354094148e-06,75285801,2.97267209789001e-05
"1367","Mexico",1993,37951301,5.3015310331522e-05,38875501,8.54008286607033e-06,76826801,3.04971698613352e-05
"1368","Mexico",1994,38701201,5.67424251252564e-05,39672901,9.93121223981075e-06,78374101,3.30338717378079e-05
"1369","Mexico",1995,39453801,6.17177543932966e-05,40473301,1.09701948946541e-05,79927101,3.60078116682851e-05
"1370","Mexico",1996,41462725,6.06568912197643e-05,42339571,1.16911907302981e-05,83802295,3.59059378982401e-05
"1371","Mexico",1997,42231838,6.65848358293096e-05,43109044,1.25263738161301e-05,85340881,3.9266058197829e-05
"1372","Mexico",1998,42978924,6.52180124379103e-05,43846756,1.16542259135431e-05,86825679,3.8156914384741e-05
"1373","Mexico",1999,43707613,6.45196524459023e-05,44564366,1.1421681618897e-05,88271978,3.77016588435347e-05
"1374","Mexico",2000,44421672,6.57336806232778e-05,45273123,1.18834302639118e-05,89694794,3.85418132517256e-05
"1375","Mexico",2001,45103823,6.84864340656889e-05,45948893,1.46467075931514e-05,91052715,4.13057425031203e-05
"1376","Mexico",2002,45772833,6.92769005580231e-05,46621485,1.40922152093611e-05,92394317,4.14202964452889e-05
"1377","Mexico",2003,46449875,7.27020255705747e-05,47308986,1.46906551748964e-05,93758860,4.34198965303119e-05
"1378","Mexico",2004,47162794,7.17090679572546e-05,48030276,1.40744558702931e-05,95193069,4.26186490531154e-05
"1379","Mexico",2005,47931234,7.39601237890099e-05,48798776,1.49798839216787e-05,96730009,4.41951783546304e-05
"1380","Mexico",2006,48791476,7.21847398098799e-05,49677365,1.42922234301276e-05,98468840,4.2967907411116e-05
"1381","Mexico",2007,49709300,7.08921670592827e-05,50584999,1.50835230816156e-05,100294298,4.27342340040109e-05
"1382","Mexico",2008,50661935,7.46714471131037e-05,51508654,1.67156377256529e-05,102170588,4.54436065298949e-05
"1383","Mexico",2009,51613932,7.86221828633401e-05,52430412,1.84434942071407e-05,104044343,4.82871038937696e-05
"1384","Mexico",2010,52539129,7.53533618724437e-05,53336734,1.68926728809454e-05,105875862,4.58933689720514e-05
"1385","Mexico",2011,53444994,8.39741884899454e-05,54210108,1.97749098747414e-05,107655101,5.16371258617834e-05
"1386","Mexico",2012,54305632,7.97523174023645e-05,55063135,1.91053415320432e-05,109368766,4.9209661924868e-05
"1387","Mexico",2013,55134452,8.46838923872863e-05,55902258,1.8675453145381e-05,111036709,5.14424468398104e-05
"1388","Mexico",2014,55955671,8.84807547031292e-05,56736920,2.16613802793666e-05,112692590,5.48305793663984e-05
"1389","Mexico",2015,56785140,8.78222718126609e-05,57572746,2.16942926432587e-05,114357885,5.45218198115504e-05
"1390","Mongolia",2016,1048019,0.000354955396801012,1119572,4.73395190304866e-05,2167590,0.000195608948186696
"1391","Montenegro",2000,284294,3.51748542002293e-06,294376,3.39701606109194e-06,578669,1.72810363091854e-06
"1392","Montenegro",2001,284294,3.51748542002293e-06,294376,3.39701606109194e-06,578669,1.72810363091854e-06
"1393","Montenegro",2002,284294,3.51748542002293e-06,294376,3.39701606109194e-06,578669,1.72810363091854e-06
"1394","Montenegro",2003,284683,3.5126790149043e-06,295007,3.38975007372706e-06,579689,1.72506292167007e-06
"1395","Montenegro",2004,285434,3.50343687157101e-06,296191,3.37619981700997e-06,581624,1.71932382432637e-06
"1396","Montenegro",2005,286063,0.000290145876957174,297171,0.000124507438478183,583233,0.000204035094036174
"1397","Montenegro",2006,286780,3.48699351419206e-06,298107,3.35450022978327e-06,584886,1.70973488850819e-06
"1398","Montenegro",2007,288017,0.000312481554908217,299229,0.000110283428411016,587245,0.000207749746698567
"1399","Montenegro",2008,289476,0.000279815943290635,300479,0.000156416920982831,589954,0.000215271021130461
"1400","Montenegro",2009,290629,0.0002683834028951,301607,0.000102782760347074,592235,0.00018236004288838
"1401","Netherlands",1985,6720701,0.000156084908404644,6897601,8.56819639175998e-05,13618301,0.000120352751785997
"1402","Netherlands",1986,6756701,0.000147853220084772,6938801,8.74790904076944e-05,13695501,0.000117191769764392
"1403","Netherlands",1987,6795501,0.000146567559919423,6981501,8.90925891151487e-05,13777001,0.000117369520405784
"1404","Netherlands",1988,6833101,0.000141370660260985,7022601,7.9600136758446e-05,13855701,0.00010999082615885
"1405","Netherlands",1989,6868101,0.000138903024285752,7061201,8.04395739478313e-05,13929301,0.000109194280459587
"1406","Netherlands",1990,6910501,0.000131683650722285,7103801,7.62971823112725e-05,14014301,0.000103537094001335
"1407","Netherlands",1991,6961901,0.000148522652074484,7152901,8.09461783407879e-05,14114801,0.000114206356859016
"1408","Netherlands",1992,7013001,0.000148581185144562,7203901,7.59310823399711e-05,14216901,0.000111698041647754
"1409","Netherlands",1993,7061001,0.000144597062087939,7252601,7.39045205988858e-05,14313601,0.000108707794775053
"1410","Netherlands",1994,7102801,0.000152756637839072,7294901,6.86781081744632e-05,14397701,0.000110087020143008
"1411","Netherlands",1995,7141001,0.000140176426246124,7333001,6.98213459946344e-05,14474001,0.000104463168131604
"1412","Netherlands",1996,7179701,0.00014540995509423,7374001,7.25522006302955e-05,14553701,0.000108426028540781
"1413","Netherlands",1997,7221501,0.000144429807598171,7418401,7.15787674459766e-05,14639901,0.000107446081773367
"1414","Netherlands",1998,7269101,0.000137981299200548,7465501,6.93858322435427e-05,14734601,0.000103158544978585
"1415","Netherlands",1999,7318201,0.000138968579846331,7513801,6.70765701673494e-05,14832001,0.000102481114989137
"1416","Netherlands",2000,7370113,0.000135818813090111,7563124,6.63746885546237e-05,14933236,0.000100581012715529
"1417","Netherlands",2001,7425304,0.000136156041557356,7613035,6.10794512306853e-05,15038338,9.80826471648662e-05
"1418","Netherlands",2002,7472657,0.000142385767204356,7657663,6.63387772483589e-05,15130319,0.000103831254317903
"1419","Netherlands",2003,7507651,0.000135728205799657,7695748,6.30218141238513e-05,15203398,9.88594786507595e-05
"1420","Netherlands",2004,7536133,0.000135746011913537,7729730,6.37797180496602e-05,15265862,9.92410385997201e-05
"1421","Netherlands",2005,7560549,0.000142185441824397,7760048,6.45614563208887e-05,15320596,0.000102802789134313
"1422","Netherlands",2006,7582776,0.000138076081899294,7785923,6.16497234817246e-05,15368698,9.92927312385213e-05
"1423","Netherlands",2007,7611033,0.000124161858186661,7814373,5.2595390570683e-05,15425405,8.78421020388119e-05
