"","Country","Year","AVGHouseSize"
"455","Czech Republic",2011,2.36807019714289
"456","Dominican Republic",1996,4.30101672216741
"457","Dominican Republic",1997,4.2474088901715
"458","Dominican Republic",1998,4.19612622163218
"459","Dominican Republic",1999,4.21014727447966
"460","Dominican Republic",2000,4.09356088455358
"461","Dominican Republic",2001,4.04227821601428
"462","Dominican Republic",2002,3.92691549931677
"463","Dominican Republic",2003,3.93971287893568
"464","Dominican Republic",2004,3.88843021039636
"465","Dominican Republic",2005,3.83714754185706
"466","Dominican Republic",2006,3.78586487331776
"467","Dominican Republic",2007,3.70621194068584
"468","Dominican Republic",2008,3.68329953623916
"469","Dominican Republic",2009,3.63201686769986
"470","Dominican Republic",2010,3.55450827786576
"471","Dominican Republic",2011,3.52945153062124
"472","Dominican Republic",2012,3.47816886208194
"473","Dominican Republic",2013,3.47793354224461
"474","Ecuador",1990,4.67806017256373
"475","Ecuador",1991,4.63533818308697
"476","Ecuador",1992,4.59043407159596
"477","Ecuador",1993,4.54552996010496
"478","Ecuador",1994,4.50062584861395
"479","Ecuador",1995,4.45572173712294
"480","Ecuador",1996,4.41081762563194
"481","Ecuador",1997,4.36591351414093
"482","Ecuador",1998,4.32100940264992
"483","Ecuador",1999,4.27610529115891
"484","Ecuador",2000,4.23120117966789
"485","Ecuador",2001,4.19114622820842
"486","Ecuador",2002,4.14139295668588
"487","Ecuador",2003,4.09648884519487
"488","Ecuador",2004,4.05158473370386
"489","Ecuador",2005,4.00668062221285
"490","Ecuador",2006,3.96177651072185
"491","Ecuador",2007,3.91687239923084
"492","Ecuador",2008,3.87196828773983
"493","Ecuador",2009,3.82706417624881
"494","Ecuador",2010,3.77949302674045
"495","Egypt, Arab Rep.",1986,4.84589236170761
"496","Egypt, Arab Rep.",1987,5.35380566418645
"497","Egypt, Arab Rep.",1988,5.31704922729574
"498","Egypt, Arab Rep.",1989,5.28029279040501
"499","Egypt, Arab Rep.",1990,5.24353635351429
"500","Egypt, Arab Rep.",1991,5.20677991662357
"501","Egypt, Arab Rep.",1992,5.65227291034542
"502","Egypt, Arab Rep.",1993,5.13326704284212
"503","Egypt, Arab Rep.",1994,5.09651060595139
"504","Egypt, Arab Rep.",1995,5.3250433406385
"505","Egypt, Arab Rep.",1996,4.63939607425352
"506","Egypt, Arab Rep.",1997,4.98624129527923
"507","Egypt, Arab Rep.",1998,4.9494848583885
"508","Egypt, Arab Rep.",1999,4.91272842149779
"509","Egypt, Arab Rep.",2000,5.24817999805333
"510","Egypt, Arab Rep.",2001,4.83921554771634
"511","Egypt, Arab Rep.",2002,4.80245911082562
"512","Egypt, Arab Rep.",2003,5.05073193798418
"513","Egypt, Arab Rep.",2004,4.72894623704417
"514","Egypt, Arab Rep.",2005,4.88349785611015
"515","Egypt, Arab Rep.",2006,4.18609523104437
"516","Egypt, Arab Rep.",2007,4.618676926372
"517","Egypt, Arab Rep.",2008,4.61397036827086
"518","Egypt, Arab Rep.",2009,4.54516405259055
"519","Egypt, Arab Rep.",2010,4.50840761569984
"520","Egypt, Arab Rep.",2011,4.47165117880911
"521","Egypt, Arab Rep.",2012,4.43489474191838
"522","Egypt, Arab Rep.",2013,4.39813830502767
"523","Egypt, Arab Rep.",2014,4.13085758320921
"524","El Salvador",1992,4.62450654004985
"525","El Salvador",1993,4.58753791536397
"526","El Salvador",1994,4.55056929067808
"527","El Salvador",1995,4.51360066599221
"528","El Salvador",1996,4.47663204130633
"529","El Salvador",1997,4.43966341662046
"530","El Salvador",1998,4.40269479193458
"531","El Salvador",1999,4.3657261672487
"532","El Salvador",2000,4.32875754256283
"533","El Salvador",2001,4.29178891787694
"534","El Salvador",2002,4.25482029319106
"535","El Salvador",2003,4.21785166850519
"536","El Salvador",2004,4.18088304381931
"537","El Salvador",2005,4.14391441913344
"538","El Salvador",2006,4.10694579444755
"539","El Salvador",2007,4.06997716976167
"540","Estonia",2000,2.35368130990278
"541","Estonia",2001,2.63210567838874
"542","Estonia",2002,2.46096870765601
"543","Estonia",2003,2.44436844727969
"544","Estonia",2004,2.42776818690336
"545","Estonia",2005,2.41116792652705
"546","Estonia",2006,2.39456766615073
"547","Estonia",2007,2.37796740577441
"548","Estonia",2008,2.36136714539809
"549","Estonia",2009,2.34476688502177
"550","Estonia",2010,2.32816662464545
"551","Estonia",2011,2.29751757241856
"552","Ethiopia",1994,4.77983072328377
"553","Ethiopia",1995,4.85178285857113
"554","Ethiopia",1996,4.8413335896498
"555","Ethiopia",1997,4.83088432072847
"556","Ethiopia",1998,4.82043505180715
"557","Ethiopia",1999,4.80998578288581
"558","Ethiopia",2000,4.82268485968027
"559","Ethiopia",2001,4.78908724504316
"560","Ethiopia",2002,4.77863797612182
"561","Ethiopia",2003,4.7681887072005
"562","Ethiopia",2004,4.75773943827917
"563","Ethiopia",2005,5.02968819793107
"564","Ethiopia",2006,4.73684090043651
"565","Ethiopia",2007,4.56712964150456
"566","Ethiopia",2008,4.71594236259385
"567","Ethiopia",2009,4.70549309367252
"568","Ethiopia",2010,4.69504382475119
"569","Ethiopia",2011,4.63848194721547
"570","Ethiopia",2012,4.67414528690853
"571","Ethiopia",2013,4.6636960179872
"572","Ethiopia",2014,4.65324674906587
"573","Ethiopia",2015,4.64279748014454
"574","Ethiopia",2016,4.61457783976785
"575","Fiji",1986,5.85205479452055
"576","Fiji",1987,5.78951906373157
"577","Fiji",1988,5.73852903966554
"578","Fiji",1989,5.68753901559948
"579","Fiji",1990,5.63654899153343
"580","Fiji",1991,5.58555896746738
"581","Fiji",1992,5.53456894340133
"582","Fiji",1993,5.48357891933527
"583","Fiji",1994,5.43258889526922
"584","Fiji",1995,5.38159887120317
"585","Fiji",1996,5.30856704339333
"586","Fiji",1997,5.27961882307106
"587","Fiji",1998,5.22862879900501
"588","Fiji",1999,5.17763877493896
"589","Fiji",2000,5.1266487508729
"590","Fiji",2001,5.07565872680685
"591","Fiji",2002,5.0246687027408
"592","Fiji",2003,4.97367867867474
"593","Fiji",2004,4.92268865460869
"594","Fiji",2005,4.87169863054264
"595","Fiji",2006,4.82070860647659
"596","Fiji",2007,4.78021467943139
"597","Finland",2010,2.07495909856428
"598","France",1990,2.57194901441309
"599","France",1991,2.53473201757601
"600","France",1992,2.51974731925129
"601","France",1993,2.50476262092656
"602","France",1994,2.48977792260184
"603","France",1995,2.47479322427711
"604","France",1996,2.45980852595239
"605","France",1997,2.44482382762767
"606","France",1998,2.42983912930294
"607","France",1999,2.40363552970469
"608","France",2000,2.3998697326535
"609","France",2001,2.35110634857126
"610","France",2002,2.36990033600405
"611","France",2003,2.35491563767932
"612","France",2004,2.3399309393546
"613","France",2005,2.32494624102987
"614","France",2006,2.31106862352477
"615","France",2007,2.29497684438043
"616","France",2008,2.2799921460557
"617","France",2009,2.26500744773098
"618","France",2010,2.25002274940626
"619","France",2011,2.25669625878061
"620","Gabon",2000,4.96813760745809
"621","Gabon",2001,4.89559262462421
"622","Gabon",2002,4.8230476417904
"623","Gabon",2003,4.75050265895658
"624","Gabon",2004,4.67795767612276
"625","Gabon",2005,4.60541269328894
"626","Gabon",2006,4.53286771045512
"627","Gabon",2007,4.4603227276213
"628","Gabon",2008,4.38777774478748
"629","Gabon",2009,4.31523276195367
"630","Gabon",2010,4.24268777911985
"631","Gabon",2011,4.17014279628603
"632","Gabon",2012,4.09759781345222
"633","Gambia, The",2013,8.22968138889476
"634","Georgia",2002,3.51647578183948
"635","Germany",2005,2.1167521829414
"636","Germany",2006,2.11270305849026
"637","Germany",2007,2.10865393403913
"638","Germany",2008,2.104604809588
"639","Germany",2009,2.10055568513687
